tconst,Film,Country,In-Degree Centrality,PageRank Score,Betweenness Centrality,CineMAC rank
tt0363988,Secret Window (2004),USA,0.0001128371008387,3.592123816622929e-05,4.519214787113451e-06,5.109251793068091e-05
tt1386697,Suicide Squad (2016),USA,0.0001128371008387,3.3016451139724384e-05,7.421496039223218e-06,5.10916826725492e-05
tt0082377,The Final Conflict (1981),USA,0.0001128371008387,3.48496861420664e-05,5.469374295456749e-06,5.105205375874105e-05
tt0039111,The Yearling (1946),USA,0.0001128371008387,4.030322544054823e-05,0.0,5.1046775426416076e-05
tt0070232,It Happened in Hollywood (1973),USA,0.0001128371008387,4.029384239496369e-05,0.0,5.104364774455457e-05
tt0062472,The War Wagon (1967),USA,0.0001128371008387,3.454110776705187e-05,5.696923927192538e-06,5.1025044177648126e-05
tt0051433,The Bravados (1958),USA,7.522473389250385e-05,7.772463189930314e-05,0.0,5.098312193060233e-05
tt0061489,Clambake (1967),USA,0.0001128371008387,4.002608177639321e-05,0.0,5.0954394205031065e-05
tt0244244,Swordfish (2001),USA,0.0001128371008387,1.958437758231906e-05,2.0420511009245157e-05,5.0947329810088066e-05
tt0035616,Air Force (1943),USA,0.0001128371008387,3.3158065669572045e-05,6.808786443740363e-06,5.093465098400413e-05
tt0064921,Salesman (1969),USA,0.0001128371008387,3.992827980319094e-05,2.452221822519497e-08,5.0929967620038714e-05
tt0050722,The Monster That Challenged the World (1957),USA,0.0001128371008387,3.992811841890655e-05,0.0,5.0921739752535516e-05
tt0141902,This Is America Part 2 (1980),USA,0.0001128371008387,3.990285322621725e-05,8.48846015487518e-09,5.091614750835738e-05
tt0160009,The Art of War (2000),USA,0.0001128371008387,2.186907616823019e-05,1.802143602040173e-05,5.090920434244398e-05
tt0105156,Poison Ivy (1992),USA,0.0001128371008387,3.983213865544164e-05,0.0,5.0889746498047215e-05
tt0134373,Butts Motel 3 (1989),USA,0.0001128371008387,3.983051701723843e-05,0.0,5.088920595197948e-05
tt1270835,Hatchet II (2010),USA,0.0001128371008387,3.1742491022512006e-05,7.976162928572082e-06,5.085191826326136e-05
tt0414931,Dai si gin (2004),Hong Kong,0.0001128371008387,2.4852417572395937e-05,1.4845386723455702e-05,5.084496837818388e-05
tt0159568,Kidô senshi Gundam F91 (1991),Japan,0.0001128371008387,3.764877864380247e-05,2.020253516860293e-06,5.083537766645425e-05
tt0035555,Who Done It? (1942),USA,0.0001128371008387,3.961666420136935e-05,0.0,5.081792168002311e-05
tt1969175,McKenna Shoots for the Stars (2012),USA,0.0001128371008387,3.764877864380247e-05,1.8377516235304768e-06,5.077454370201098e-05
tt0083352,Yong zhe wu ju (1981),Hong Kong,0.0001128371008387,3.937112445933631e-05,0.0,5.0736075099345433e-05
tt0092997,Extreme Prejudice (1987),USA,0.0001128371008387,3.6878722594257936e-05,2.472474655872261e-06,5.072943269627673e-05
tt0168192,The Stewardesses (1969),USA,0.0001128371008387,3.926079838365971e-05,0.0,5.069929974078657e-05
tt0037865,Leave Her to Heaven (1945),USA,0.0001128371008387,3.925806125113314e-05,0.0,5.069838736327771e-05
